TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
MR,15,3715038328,Tai Pak Floating Restaurant,"TAI PAK FLOATING RESTAURANT, SHUM WAN, WONG CHUK HANG, ABERDEEN, SOUTHERN, HONG KONG",#F#G#H,2024-06-30,22.24329000000006,114.16203000000009,
MR,11,3711800024,Man Lok,"MAN LOK (VESSEL NO. A5583) (PORTION OF UPPER DECK & PORTIONS OF MAIN DECK OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER, NORTH POINT, HONG KONG",#H,2024-04-22,22.2884683,114.192803,180.0
MR,11,3711800033,Man On,"MAN ON (VESSEL NO. A10363) (PORTION OF UPPER DECK & PORTIONS OF MAIN DECK OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER, NORTH POINT, HONG KONG",#H,2024-06-24,22.2884683,114.192803,180.0
MR,11,3711800042,Man Kim,"MAN KIM (VESSEL NO. A2463) (PORTION OF UPPER DECK & PORTIONS OF MAIN DECK OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER,  NORTH POINT, HONG KONG",#H,2024-09-19,22.2884683,114.192803,180.0
MR,11,3711800051,Oriental Pearl,"ORIENTAL PEARL (VESSEL NO. A144155) (PORTION A OF DECK 1, PORTION A OF DECK 2 & PORTION A OF DECK 3 OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER, NORTH POINT, HONG KONG",#G#H,2024-03-16,22.28821576000007,114.19986268500008,223.0
RL,18,2213018221,CARITAS RESTAURANT,"ROOM 301, 3/F., BLOCK A, CARITAS HOUSE, 2 CAINE ROAD, CENTRAL, HONG KONG",,2024-06-30,22.2788247,114.1542931,128.0
RL,18,2213018504,WING LOK YUEN RESTAURANT,"15-23 (B/M) & 19 (G/F.), CHIU LUNG STREET, CENTRAL, HONG KONG",,2024-06-30,22.2825635,114.1566399,71.0
RL,18,2213030229,GOLDEN CHINA RESTAURANT LIMITED,"G/F, 9 JUBILEE STREET, CENTRAL, HONG KONG",,2024-06-30,22.284319,114.15516,61.0
RL,18,2213034780,Healthy Chicken,"G/F., 82 STANLEY STREET, CENTRAL, HONG KONG",,2024-06-30,22.2835515,114.1544011,71.0
RL,18,2213035783,YUNG KEE,"G/F - 4/F, 32-40 WELLINGTON STREET, CENTRAL, HONG KONG",,2024-06-30,22.2814797,114.1555703,71.0
RL,18,2213035792,MAK' S NOODLE,"G/F, 77 WELLINGTON STREET, CENTRAL, HONG KONG",,2024-06-30,22.28299417173629,114.15466761875648,71.0
RL,18,2213037071,CAN.TEEN,"ATRIUM & SHOP 44, 1/F., ADMIRALTY CENTRE, TOWER I, 18 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,2024-06-30,22.2792728,114.1650221,73.0
RL,18,2213037309,McDonald's,"B/M., YU TO SANG BUILDING, 37 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,2024-06-30,22.2824528,114.1563135,71.0
RL,18,2213039420,TSUI HANG VILLAGE,"2/F, 16-18 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,2024-06-30,22.2805573,114.157342,73.0
RL,18,2213039518,BAAN THAI,"G/F. & C/L., 57 WYNDHAM STREET, CENTRAL, HONG KONG",,2024-06-30,22.281268,114.154941,71.0
RL,18,2213039536,Café Landmark,"SHOPS 107-108 ON THE FIRST FLOOR, LANDMARK ATRIUM, 15 QUEEN’S ROAD CENTRAL, HONG KONG",,2024-06-30,22.2811864,114.1578201,73.0
RL,18,2213044772,LEE FA YUEN KOREA GARDEN RESTAURANT,"1/F, 243-247 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG",,2024-06-30,22.2866995,114.1523567,61.0
RL,18,2213045562,SHIKI,"UNIT A-1, UPPER G/F, FAR EAST FINANCE BUILDING, 16 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,2024-06-30,22.279965,114.1640653,73.0
RL,18,2213045881,CARAT,"G/F. & C/L., 29 D'AGUILAR STREET, CENTRAL, HONG KONG",,2024-06-30,22.281101,114.1552797,71.0
RL,18,2213045960,McDonald's,"UG/F & LG/F, CHUANG'S TOWER, 30-32 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,2024-06-30,22.2836231,114.1571356,71.0
RL,18,2213062574,海南餐廳,"G/F, 130-131 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,2024-06-30,22.287079,114.15193,61.0
RL,18,2213066983,BASMATI,"1/F., SAN TOI BUILDING, 137-139 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,2024-06-30,22.287155,114.151705,61.0
RL,18,2213067348,忠記麵家,"SHOP A, G/F, 29-37 WING KUT STREET, CENTRAL, HONG KONG",,2024-06-30,22.2852597,114.1542698,61.0
RL,18,2213069894,Tasty Vibes,"SHOP 21, B/M., JARDINE HOUSE, 1 CONNAUGHT PLACE, CENTRAL, HONG KONG",,2024-06-30,22.2830289,114.1589161,71.0
RL,18,2213069900,Maxim’s Palace/Bistrocity/Muses,"G/F(PTN), 1/F(PTN), 2/F &2 BALCONIES ON 1-2/F, CITY HALL LOW BLOCK, CENTRAL, HONG KONG",#G,2024-06-30,22.2822389,114.1616361,73.0
RL,18,2213072052,KAU KEE RESTAURANT,"G/F, 21 GOUGH STREET, CENTRAL, HONG KONG",,2024-06-30,22.284238,114.152541,62.0
RL,18,2213074942,DOTCOD,"SHOP B4, B/M & G/F (PTN), PRINCE'S BLDG, 10 CHATER ROAD, CENTRAL, HONG KONG",#F,2024-06-30,22.2811963,114.1592117,73.0
RL,18,2213081102,均樂茶餐廳,"BASEMENT, 4 GAGE STREET, CENTRAL, HONG KONG",,2024-06-30,22.2826812,114.1537498,71.0
RL,18,2213084077,OLE ' SPANISH RESTAURANT & WINE BAR,"1/F, SHUN HO TOWER, 24-30 ICE HOUSE STREET, CENTRAL, HONG KONG",,2024-06-30,22.2803307,114.1564993,73.0
RL,18,2213084262,MARRIOTT HK HOTEL,"LG2(PTN), L4(PTN), L5 & L7(PTN), HK MARROTT HOTEL, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",#F#G#H,2024-06-30,22.2772459,114.1649087,73.0
RL,18,2213084280,JW MARRIOTT HOTEL HONG KONG,"LEVEL 3, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",,2024-06-30,22.2772459,114.1649087,73.0
RL,18,2213086426,METROPOL RESTAURANT,"4/F, UNITED CENTRE, 95 QUEENSWAY, CENTRAL, HONG KONG",,2024-06-30,22.2784312,114.1654177,73.0
RL,18,2213086471,CHIU CHOW GARDEN,"3/F, INFINITUS PLAZA, 199 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG",#G,2024-06-30,22.2864399,114.1536781,61.0
RL,18,2213087906,Peking Garden,"SHOP 5, LG1, THE MALL ONE PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",,2024-06-30,22.2776878,114.1653875,73.0
RL,18,2213091219,MERCER REST.,"G/F., 23 HILLIER STREET, CENTRAL, HONG KONG",,2024-06-30,22.2854988,114.1515651,61.0
RL,18,2213092674,CONRAD HONG KONG,"PTN. OF LEVEL 3-5, 5M, 6-8 & 59, CONRAD INTERNATIONAL HONG KONG, 88 QUEENSWAY, CENTRAL, HONG KONG",#F#G#H,2024-06-30,22.277509,114.166341,73.0
RL,18,2213101990,ISLAND SHANGRI-LA HOTEL,"PTNS. OF LEVEL 5 & LEVEL 6, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#F#G#H,2024-08-28,22.2771904,114.1644241,73.0
RL,18,2213102009,ISLAND SHANGRI-LA HOTEL,"LEVEL 7 (PTN) & LEVEL 8, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#E#F#G#H,2024-08-28,22.2771904,114.1644241,73.0
RL,18,2213102063,ISLAND SHANGRI-LA HOTEL,"PTN. OF 3,5,6 &39, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#E#F#G#H,2024-09-04,22.2771904,114.1644241,73.0
RL,18,2213102708,No Record,"PTNS. OF LEVEL 56, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",#D#E#F#G#H,2024-10-27,22.2771904,114.1644241,73.0
RL,18,2213103118,Caine Delicious,"LOWER B/M(PTN.), UPPER B/M & G/F(PTN.), 27 CAINE ROAD, CENTRAL, HONG KONG",,2024-12-02,22.2802297,114.1538673,73.0
RL,18,2213104519,MANDARIN ORIENTAL HOTEL,"5 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",#E#F#G#H,2024-02-11,22.2818941,114.1594486,73.0
RL,18,2213106463,La Parrilla Steakhouse,"1/F., CARFIELD COMMERCIAL BUILDING, 75-77 WYNDHAM STREET, CENTRAL, HONG KONG",,2024-08-16,22.2818526,114.1547385,71.0
RL,18,2213106676,TUK TUK THAI,"G/F, 30 GRAHAM STREET, CENTRAL, HONG KONG",,2024-08-31,22.2829578,114.1535029,71.0
RL,18,2213115036,RUTH'S CHRIS STEAK HOUSE,"SHOP 2-3, G/F., LIPPO CENTRE, 89 QUEENSWAY, CENTRAL, HONG KONG",,2024-04-17,22.279536,114.16335,73.0
RL,18,2213115939,生記,"G/F, 18, 20 & 22, HILLIER STREET, CENTRAL, HONG KONG",,2024-06-06,22.2856715,114.1517356,61.0
RL,18,2213116817,福祿壽健康素食,"G/F., 8 TIT HONG LANE, CENTRAL, HONG KONG",,2024-07-17,22.2846988,114.1552277,61.0
RL,18,2213118132,KA HO RESTAURANT,"UG/F, 328 QUEEN'S ROAD CENTRAL, WESTERN, HONG KONG",,2024-09-29,22.2852239,114.149989,58.0
RL,18,2213122472,佳記,"G/F, 94 JERVOIS STREET, CENTRAL, HONG KONG",,2024-05-16,22.2850402,114.150933,61.0
RL,18,2213123688,FAIRWOOD FAST FOOD,"2/F., MANNING HOUSE, 48 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,2024-07-21,22.2821268,114.1561479,71.0
RL,18,2213126155,CAFE DE CORAL,"G/F.(PTN.) & 1/F., REGENT CENTRE, 88 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,2024-11-29,22.2831406,114.1551291,71.0
RL,18,2213126632,JACKPOT RESTAURANT,"G/F., 18-20 WING LOK STREET, CENTRAL, HONG KONG",,2024-01-07,22.2860873,114.1526762,61.0
RL,18,2213127006,TERRACE ROOM,"LB/F (PORTION) & 1/F (PORTION), BISHOP LEI INTERNATIONAL HOUSE, 4 ROBINSON ROAD, MID-LEVELS, CENTRAL, HONG KONG",#F#G#H,2024-02-08,22.278663,114.153343,128.0
RL,18,2213127042,GENKI SUSHI,"SHOP C1, G/F, FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,2024-02-06,22.279965,114.1640653,73.0
RL,18,2213128540,彩星,"G/F, 126 CAINE ROAD, CENTRAL, HONG KONG",,2024-05-15,22.2827264,114.1496734,121.0
RL,18,2213133412,Golden Restaurant,"1/F, SHUN TAK CENTRE, EAST WING, 200 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, CENTRAL, HONG KONG",,2024-12-19,22.2880105,114.151085,71.0
RL,18,2213133652,TWO MACDONNELL ROAD,"8/F (PORTION), 2 MACDONNELL ROAD, CENTRAL, HONG KONG",,2025-01-08,22.2762114,114.1555239,136.0
RL,18,2213134372,東方茶餐廳,"SHOP 1, 2 & 3, G/F, 43 CAINE ROAD, CENTRAL, HONG KONG",,2024-02-11,22.2806311,114.1532787,73.0
RL,18,2213134673,川粵樓,"7/F, CODA PLAZA, 51 GARDEN ROAD, CENTRAL, HONG KONG",,2024-03-09,22.276362,114.1562208,134.0
RL,18,2213135454,TOKIO JOE,"LG/F, 58-62 D'AGUILAR STREET, CENTRAL, HONG KONG",#F#G#H,2024-04-03,22.2804988,114.155431,71.0
RL,18,2213139289,CHIU LUNG FAST FOOD,"G/F, 21-23 CHIU LUNG STREET, CENTRAL, HONG KONG",,2024-09-22,22.2826288,114.1565823,71.0
RL,18,2213140326,NEPAL BAR & RESTAURANT,"G/F, 14 STAUNTON STREET, LOWER MID-LEVELS, CENTRAL, HONG KONG",,2024-10-29,22.2818087,114.1529581,72.0
