TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RL,CARITAS RESTAURANT,"ROOM 301, 3/F., BLOCK A, CARITAS HOUSE, 2 CAINE ROAD, CENTRAL, HONG KONG",,114.1542931,22.2788247,128.0,3,0,0,6,3,0,0,0,1,39.72919968304279,70000,2.5685210312075983,0.5166402535657686,0.6811938721605917,0.390121500264131,0.6132971506105834,0.291,1
RL,WING LOK YUEN RESTAURANT,"15-23 (B/M) & 19 (G/F.), CHIU LUNG STREET, CENTRAL, HONG KONG",,114.1566399,22.2825635,71.0,42,0,5,0,0,6,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,GOLDEN CHINA RESTAURANT LIMITED,"G/F, 9 JUBILEE STREET, CENTRAL, HONG KONG",,114.15516,22.284319,61.0,40,2,0,1,0,1,0,0,0,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,HEAVEN OR HELL? BY HEALTHY CHICKEN,"G/F., 82 STANLEY STREET, CENTRAL, HONG KONG",,114.1544011,22.2835515,71.0,64,0,0,0,2,0,0,0,5,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,0
RL,YUNG KEE,"G/F - 4/F, 32-40 WELLINGTON STREET, CENTRAL, HONG KONG",,114.1555703,22.2814797,71.0,166,0,0,2,4,4,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,MAK' S NOODLE,"G/F, 77 WELLINGTON STREET, CENTRAL, HONG KONG",,114.15466761875648,22.28299417173629,71.0,116,0,0,0,2,5,0,0,5,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,CAN.TEEN,"ATRIUM & SHOP 44, 1/F., ADMIRALTY CENTRE, TOWER I, 18 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,114.1650221,22.2792728,73.0,6,5,5,4,2,12,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,McDonald's,"B/M., YU TO SANG BUILDING, 37 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,114.1563135,22.2824528,71.0,72,0,1,0,0,6,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,TSUI HANG VILLAGE,"2/F, 16-18 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,114.157342,22.2805573,73.0,35,0,0,0,1,4,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,BAAN THAI,"G/F. & C/L., 57 WYNDHAM STREET, CENTRAL, HONG KONG",,114.154941,22.281268,71.0,169,0,0,2,3,4,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,Café Landmark,"SHOPS 107-108 ON THE FIRST FLOOR, LANDMARK ATRIUM, 15 QUEEN’S ROAD CENTRAL, HONG KONG",,114.1578201,22.2811864,73.0,26,3,4,0,0,6,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,LEE FA YUEN KOREA GARDEN RESTAURANT,"1/F, 243-247 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG",,114.1523567,22.2866995,61.0,23,0,6,0,1,7,0,0,2,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,SHIKI,"UNIT A-1, UPPER G/F, FAR EAST FINANCE BUILDING, 16 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,114.1640653,22.279965,73.0,16,3,2,0,0,10,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,CARAT,"G/F. & C/L., 29 D'AGUILAR STREET, CENTRAL, HONG KONG",,114.1552797,22.281101,71.0,169,0,0,2,3,4,0,0,2,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
