TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,SANG KEE CONGEE,"G/F, 7-9 BURD STREET, CENTRAL, HONG KONG",,114.15166823852417,22.28528653843574,61.0,71,0,0,3,1,0,0,0,10,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RR,蘭芳園,"LG/F, 2 GAGE STREET, CENTRAL, HONG KONG",,114.15387787583931,22.282827204225043,71.0,133,0,0,0,2,3,0,0,6,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,DELIFRANCE,"SHOP 176 ON THE FIRST FLOOR, WORLD-WIDE PLAZA, NO. 19 DES VOEUX ROAD CENTRAL, HONG KONG",,114.1576500000001,22.28242000000006,73.0,15,2,9,0,0,3,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RR,VINTAGE,"LG/F(PTN) & G/F, 17-19 ON LAN STREET, CENTRAL, HONG KONG",,114.15685906734171,22.28070779809761,73.0,55,0,0,0,1,5,0,0,9,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RR,D'AGUILAR 26,"G/F & C/L, 26 D'AGUILAR STREET, CENTRAL, HONG KONG",,114.15562147933788,22.28105568898892,71.0,154,0,0,2,3,3,0,0,10,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,沾仔記,"SHOP B & C, G/F, JADE COURT, 98 WELLINGTON STREET, CENTRAL, HONG KONG",,114.15442563321182,22.28293361248585,71.0,133,0,0,0,2,3,0,0,5,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,車仔麵世家,"G/F, 82 JERVOIS STREET, CENTRAL, HONG KONG",,114.1511234148178,22.284881985878982,61.0,58,0,0,0,4,1,0,1,7,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RR,BAR AKJ,"G/F, C/F, 1/F, WAI LAM HOUSE, 12 LAN KWAI FONG, CENTRAL, HONG KONG",,114.1555358162874,22.280583201106907,71.0,140,0,0,2,3,3,0,0,11,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,Butao,"G/F, FORTUNA BUILDING, 69 WELLINGTON STREET, CENTRAL, HONG KONG",,114.15481748718526,22.28280767439064,71.0,133,0,0,2,2,6,0,0,3,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,Friday cafe & wine bar,"G/F, 10 MERCER STREET, SHEUNG WAN, CENTRAL, HONG KONG",,114.15183487075932,22.28544043017804,61.0,73,0,1,3,0,0,0,0,9,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
