Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,Review_clean,,,,,,,,,,,
Beyond Flavours,Rusha Chakraborty,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",1,"1 Review , 2 Followers",5/25/2019 15:54,0,ambience good food quite good lunch cost effective good place sate brunch one also chill friend das really courteous helpful,,,,,,,,,,,
Beyond Flavours,Anusha Tirumalaneedi,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,1,"3 Reviews , 2 Followers",5/25/2019 14:20,0,ambience good pleasant evening service prompt food good good experience someone das service,,,,,,,,,,,
Beyond Flavours,Ashok Shekhawat,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,1,"2 Reviews , 3 Followers",5/24/2019 22:54,0,must try great food great ambience service support personal recommendation also music background amazing,,,,,,,,,,,
Beyond Flavours,Swapnil Sarkar,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",1,"1 Review , 1 Follower",5/24/2019 22:11,0,das great guy behavior sincerity good food course would like visit place,,,,,,,,,,,
Beyond Flavours,Dileep,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,1,"3 Reviews , 2 Followers",5/24/2019 21:37,0,food god order drumstick basket mutton good thanks serve well enjoy ambience also good,,,,,,,,,,,
Beyond Flavours,Nagabhavani K,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",1,1 Review,5/24/2019 15:22,0,good service good food spare good service good papaya good hostess caption good restaurant,,,,,,,,,,,
Beyond Flavours,Jamuna Bhuwalka,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",1,1 Review,5/24/2019 1:02,0,nice place ambience different food order tasty service also good worth visit reasonable well really must visit place,,,,,,,,,,,
Beyond Flavours,Sandhya S,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,1,1 Review,5/23/2019 15:01,0,well read many review finally visit good come food crispy corn nice the fish basket disappointed flattering claim staff polite prompt especially,,,,,,,,,,,
Beyond Flavours,Akash Thorat,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",1,"1 Review , 1 Follower",5/22/2019 23:12,0,excellent food specially like spicy food courteous staff pope give excellent service corporate team dinner overall great team dinner party,,,,,,,,,,,
Beyond Flavours,Smarak Patnaik,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",1,"1 Review , 1 Follower",5/22/2019 22:37,0,come birthday treat close friend perfect place treat like hospitable staff food delicious ambience really good music light chili honey lotus stem must try special mention pope take good care,,,,,,,,,,,
Beyond Flavours,Saubhagya Bhuyan,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,1,"1 Review , 1 Follower",5/22/2019 22:22,0,service great food awesome service staff manner pipe courteous attentive would like come frequently place,,,,,,,,,,,
Beyond Flavours,Srivaths07,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",1,"3 Reviews , 1 Follower",5/22/2019 21:43,0,good ambience amazing food good service friendly staff pope spare definitely visit love design menu card,,,,,,,,,,,
Beyond Flavours,Kunj Mishra,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,1,"1 Review , 1 Follower",5/22/2019 21:29,0,food good soup expect starter order honey lotus stem must try p service great frequent visit papaya know experience also food really impressive,,,,,,,,,,,
Beyond Flavours,Pradeep Vetapalem,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,1,"2 Reviews , 25 Followers",5/22/2019 21:21,0,food good fry must mutton help choose good dish attend well visit,,,,,,,,,,,
Beyond Flavours,Kankaria.ritu,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",0,1 Review,5/22/2019 21:19,0,order corn cheese ball soup sizzle stale smell waiter impolite even accept mistake never go,,,,,,,,,,,
Beyond Flavours,Abhay Sharma,Food and ambience is fantastic.. Waiter Manav Maji was really quick in his service.. Cheese Balls is a must try starter as it was very scrumptious,1,"4 Reviews , 7 Followers",5/22/2019 20:38,0,food ambience fantastic waiter magi really quick service cheese ball must try starter sumptuous,,,,,,,,,,,
Beyond Flavours,Shubham Jaiswal,"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty.

The ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",1,"30 Reviews , 34 Followers",5/22/2019 19:54,8,come lunch food good tasty try buffet item novel taste ambience service also good staff,,,,,,,,,,,
Beyond Flavours,Srijani Mukherjee,The best thing about this place is the food. My favorite go to dish here is definitely Alfredo Pasta although other items are good as well. And the service and behavior of the staff is top-notch. We we're attended by Mr. Soumen Das and he was extremely polite. Will definitely visit soon.,1,"6 Reviews , 267 Followers",5/22/2019 19:47,1,good thing place food favorite dish definitely although item good well service behavior staff top notch attend das extremely polite definitely visit soon,,,,,,,,,,,
Beyond Flavours,Hari Jangam,Polite and friendly staff. Nice ambience and good spread of menu. Drinks are awesome. Service is very good by manav... looking forward to seeing it again...,1,"1 Review , 1 Follower",5/22/2019 15:13,0,polite friendly staff nice ambience good spread menu drink awesome service good manner look forward see,,,,,,,,,,,
Beyond Flavours,Suneet Soni,"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.",1,"1 Review , 33 Followers",5/21/2019 22:08,0,food really good vegetarian item include mushroom additionally service pray spare really good,,,,,,,,,,,
Beyond Flavours,Little Chef Chika,"Beautiful, cozy and classy at the same time, this place is truly recommended for your special days. With 15 percent corporate discounts, you can treat your cotorie well without burning a hole ur pocket. Also, the interior is done so well, you ll love the vibe. On the menu, honey chilli lotus stems, basket biryanis, sizzling brownies were my favourite. Also loved the tomato basil shorba, different from the creamy standards in other restaurants. I'm definitely making more visits to Beyond Flavours. Special mention to Papiya, our hostess for the evening, excellent service :)",1,"72 Reviews , 762 Followers",5/21/2019 22:06,0,beautiful cozy classy time place truly recommend special day percent corporate discount treat coterie well without burn hole pocket also interior do well love menu honey lotus stem basket s sizzle browny also love tomato basil different creamy standard restaurant definitely make visit beyond flavour special mention papaya hostess evening excellent service,,,,,,,,,,,
Beyond Flavours,Sneha Munigela,"please was good but it was quite expensive and coming to taste we can rate 3 out of 5, we cant click better pictures wen we visit in night?§£?§≠best in day time for pics",1,"6 Reviews , 1 Follower",5/21/2019 20:17,1,please good quite expensive come taste rate can not click good picture wen visit day time pic,,,,,,,,,,,
Beyond Flavours,Sneha Sarkar,Service was too good and fast. Even these people were so polite and well behaving. Manav and pradeep you were good. Hope everyone behaves the same way,1,"2 Reviews , 2 Followers",5/21/2019 10:53,0,service good fast even people polite well behave good hope everyone behave way,,,,,,,,,,,
Beyond Flavours,Tony,"We had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy
Food was perfect desserts, starters was wonderful",1,"8 Reviews , 25 Followers",5/21/2019 5:43,0,farewell feast recently enjoy well good management boy give complimentary food make perfect dessert starter wonderful,,,,,,,,,,,
Beyond Flavours,Amritap Datta,"Excellent experience, mouthwatering food, good ambience, a must go place in hyderabad. We were served by Shubhro and Papiya. They were awesome in their behaviour. Had an enjoyable evening with friends.",1,1 Review,5/20/2019 23:33,0,excellent experience food good ambience must place serve pope awesome behaviour enjoyable evening friend,,,,,,,,,,,
