TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
MR,15,3715038319,Jumbo,"JUMBO FLOATING RESTAURANT, ABERDEEN TYPHOON SHELTER, SHUM WAN, WONG CHUK HANG, SOUTHERN, HONG KONG",#F#G#H,2023-06-30
MR,15,3715038328,Tai Pak Floating Restaurant,"TAI PAK FLOATING RESTAURANT, SHUM WAN, WONG CHUK HANG, ABERDEEN, SOUTHERN, HONG KONG",#F#G#H,2023-06-30
MR,11,3711800024,Man Lok,"MAN LOK (VESSEL NO. A5583) (PORTION OF UPPER DECK & PORTIONS OF MAIN DECK OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER, NORTH POINT, HONG KONG",#H,2023-04-22
MR,11,3711800033,Man On,"MAN ON (VESSEL NO. A10363) (PORTION OF UPPER DECK & PORTIONS OF MAIN DECK OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER, NORTH POINT, HONG KONG",#H,2023-06-24
MR,11,3711800042,Man Kim,"MAN KIM (VESSEL NO. A2463) (PORTION OF UPPER DECK & PORTIONS OF MAIN DECK OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER,  NORTH POINT, HONG KONG",#H,2022-09-19
MR,11,3711800051,Oriental Pearl,"ORIENTAL PEARL (VESSEL NO. A144155) (PORTION A OF DECK 1, PORTION A OF DECK 2 & PORTION A OF DECK 3 OF THE VESSEL) BERTHING AT NORTH POINT (EAST) PASSENGER FERRY PIER, NORTH POINT, HONG KONG",#G#H,2023-03-16
RL,18,2213018221,CARITAS RESTAURANT,"ROOM 301, 3/F., BLOCK A, CARITAS HOUSE, 2 CAINE ROAD, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213030229,GOLDEN CHINA RESTAURANT LIMITED,"G/F, 9 JUBILEE STREET, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213035783,YUNG KEE,"G/F - 4/F, 32-40 WELLINGTON STREET, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213037071,CAN.TEEN,"ATRIUM & SHOP 44, 1/F., ADMIRALTY CENTRE, TOWER I, 18 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,2023-06-30
RL,18,2213037309,McDonald's,"B/M., YU TO SANG BUILDING, 37 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213039420,TSUI HANG VILLAGE,"2/F, 16-18 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213039518,BAAN THAI,"G/F. & C/L., 57 WYNDHAM STREET, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213039536,Café Landmark,"SHOPS 107-108 ON THE FIRST FLOOR, LANDMARK ATRIUM, 15 QUEEN’S ROAD CENTRAL, HONG KONG",,2023-06-30
RL,18,2213044772,LEE FA YUEN KOREA GARDEN RESTAURANT,"1/F, 243-247 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213045562,SHIKI,"UNIT A-1, UPPER G/F, FAR EAST FINANCE BUILDING, 16 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,2023-06-30
RL,18,2213045881,CARAT,"G/F. & C/L., 29 D'AGUILAR STREET, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213045960,McDonald's,"UG/F & LG/F, CHUANG'S TOWER, 30-32 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213062574,海南餐廳,"G/F, 130-131 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213066983,BASMATI,"1/F., SAN TOI BUILDING, 137-139 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213067348,忠記麵家,"SHOP A, G/F, 29-37 WING KUT STREET, CENTRAL, HONG KONG",,2023-06-30
RL,18,2213069894,CHIU CHOW GARDEN,"SHOP 21, B/M., JARDINE HOUSE, 1 CONNAUGHT PLACE, CENTRAL, HONG KONG",,2023-06-30
