TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,92,2292000010,東江,"290, G/F., 290-292, M/F, SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36932735534819,114.117078387233,[1006]
RL,92,2292000047,海蓮,"15-16, WING KA HOUSE, FUK LOI ESTATE, G/F., TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.373866994108013,114.1124345614167,[989]
RL,92,2292000056,裕記,"NO. 9 SAN TSUEN MAIN STREET, G/F & 1/F, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.353245961644333,114.10051331580638,[1072]
RL,92,2292000065,能記飯店,"13 MAIN STREET, SAN TSUEN, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37008224800008,114.05948684100008,[1061]
RL,92,2292000074,圓玄學院,"YUEN YUEN INSTITUTE, LO WAI, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.383020000000045,114.12272000000009,[973]
RL,92,2292000092,都好,"NO. 12-14 HOI PA STREET, G/F, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.3738310357434,114.11179569275669,[991]
RL,92,2292000108,新記粥粉麵,"16 HOI PA STREET, G/F & C/L, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37378950341315,114.11188973771031,[991]
RL,92,2292000117,莎樂美,"NO. 294 SHA TSUI ROAD, G/F & M/F, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36930552049041,114.1171164410734,[1006]
RL,92,2292000135,Ho Choi Seafood Restaurant,"NO. 43-59, 1F AND NO. 59, G/F (PORTION), HEUNG WO STREET, TSUEN WAN, NEW TERRITORIES",#G,2022-06-30,22.37172110116656,114.11213800968238,[997]
RL,92,2292000214,寶星咖啡餐廳,"NO. 12, WING TAI HOUSE G/F., FUK LOI ESTATE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37310520483792,114.1138445651689,[989]
RL,92,2292000232,鴻記點心茶樓,"NO.49, PHASE I, G/F., SHAM TSENG VILLAGE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.367501860655608,114.0587738687446,[1061]
RL,92,2292000241,金坊泰國菜,"SHOP A, G/F, TSUEN FAT BUILDING, TSUEN HING PATH, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.372521824376904,114.11547233076556,[990]
RL,92,2292000250,金坊泰國美食,"7-11 TSUEN HING PATH, G/F., TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.3723882587498,114.11539555253243,[990]
RL,92,2292000278,MCDONALD'S,"NO. 10-16 MARKET STREET, G/F & M/F,22 CHUEN LUNG STREET ON G/F & WHOLE 1/F OF TWTL 81, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37172801623668,114.11667546914737,[995]
RL,92,2292000287,彩龍,"NO.2, CHUEN LUNG TSUEN, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.39506646170983,114.10856488817768,[970]
RL,92,2292000296,聯發燒臘飯麵家,"17, MARKET STREET, G/F., & NO.14 CHUEN LUNG STREET, G/F., REAR PORTION, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37203684745917,114.11686238558816,[993]
RL,92,2292000302,彩龍船中西美食坊,"SHOP NO.6 &12, G/F, ALLWAY GARDENS, ON YUK ROAD, TWTL 236, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.378003755963032,114.10379351784457,[981]
RL,92,2292000311,灣岸餐廳,"FLAT C ON GROUND FLOOR, NO. 333-335 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36885998042713,114.11868796409976,[1013]
RL,92,2292000320,端記茶樓,"LOT 353 AND 354 IN D.D. 360, CHUEN LUNG VILLAGE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.39506440814354,114.10829792456155,[970]
RL,92,2292000454,彬記,"NO. 4, G/F & NO. 6A, G/F & C/L, TAI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37094001256439,114.11649001953958,[995]
RL,92,2292000542,新盛粉麵美食,"G/F & C/L, 54 HAU TEI SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37109966686512,114.11550988169176,[995]
RL,92,2292000551,Good Taste Restaurant,"G/F, 65-67 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.370704963044588,114.11632569232783,[995]
RL,92,2292000612,獅子吧,"G/F, 180-182 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.371751485565568,114.112435315788,[997]
RL,92,2292000700,金溪海鮮火鍋,"SHOP NO. 6 & 7, CAR PARK BLOCK 1, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36843032407036,114.1195904436147,[1000]
RL,92,2292000719,妙法齋,"79 G/F., HO PUI STREET, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36832701711372,114.11654077196334,[1006]
RL,92,2292000782,誠信茶餐廳,"G/F., NO. 206 YAU MA HOM ROAD, KWAI CHUNG, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37133584415009,114.13358790537316,[1019]
RL,92,2292000816,冠華粥麵店,"SHOP NO. 7, G/F, SHEK FONG HOUSE, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37466377782387,114.12404441932404,[1022]
RL,92,2292000825,Wedding Banquet Specialist,"4/F, NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37376947066457,114.11634329432452,[1001]
RL,92,2292000843,MCDONALD'S,"SHOP NO. 1-9, 1A, 2B, 3A, 3B, 9A, 9B &9C, PODIUM A, G/F, WEALTHY GARDEN SHOPPING ARCADE, TEXACO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36616023319632,114.12110254553826,[1000]
RL,92,2292000913,全記餐廳,"NO. 54, G/F, SHAM TSENG CHUNG KIN VILLAGE (SHAM TSENG RE-SITE VILLAGE) AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",#A,2022-06-30,22.374444478000044,114.10723583900004,[988]
RL,92,2292000922,陳記海鮮酒家,"G/F, NO. 63 SHAM TSENG VILLAGE AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT AND SHOP SIDE, TSUEN WAN, NEW TERRITORIES",#A,2022-06-30,22.367432626135383,114.0593405692183,[1061]
RL,92,2292000931,Cafe'de Coral,"SHOP NOS. 52-70, UPPER G/F, BLOCK 15-17, TSUEN WAN CENTRE, PHASE II, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37912722508382,114.18686074865371,[1614]
RL,92,2292000940,新裕記飯店有限公司,"G/F & 1/F, NO. 33-36 SHAM TSENG NEW VILLAGE MAIN STREET, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.370005786591207,114.0579454852538,[1061]
RL,92,2292000959,翠河餐廳,"SHOP A80-A84 & GA38, TSUEN FUNG CENTRE, 144-172 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.371670432561857,114.11858235211974,[994]
RL,92,2292000977,Tak Wah Restaurant,"G/F, NO. 10 TAK WAH STREET, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.369381502442707,114.118150013554,[1013]
RL,92,2292001077,美景茶餐廳,"SHOP NO. 2 (MAJOR PORTION), 1/F, COMMERCIAL COMPLEX, CLAGUE GARDEN ESTATE, 28 HOI SHING ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37240435252833,114.10730135798732,[988]
RL,92,2292001110,大八方中國料理,"1/F, COMMERCIAL COMPLEX, HONG KONG GARDEN, TSING LUNG TAU, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.36148172633792,114.04291153608028,[1067]
RL,92,2292001156,Holly Restaurant,"G/F TO 3/F, NO. 1 CHEONG TAI STREET, LO TAK COURT, TSUEN WAN, NEW TERRITORIES",,2022-06-30,22.37249936087639,114.11579050781012,[990]
RL,92,2292001183,和食快餐,"SHOP NO.22-24, G/F, CHEONG NING BUILDING, TSUEN CHEONG CENTRE, SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",#G#H,2022-06-30,22.3709512652694,114.12033056566509,[1002]
