GEONAMEID,ENGLISHNAME,CLASS,TYPE,EASTING,NORTHING
21082557,Ying Tung Estate,BUS,BUS,813208,817590
21167524,YING TUNG ESTATE,BUS,BUS,813221,817591
627860,Tiu Keng Leng Station,BUS,BUS,844023,818446
21156170,LAI CHI KOK STATION,BUS,BUS,833336,822050
21128586,FANLING STATION BBI - FANLING STATION,BUS,BUS,832409,839130
621094,FO TAN STATION,BUS,BUS,838442,828454
21125831,Mun Tung Estate,BUS,BUS,811156,815543
21090913,DB Plaza Bus Terminus,BUS,BUS,819843,817380
21184186,"Yuet Ping Hse, Long Ping Estate (MTR Long Ping Station)",BUS,BUS,820396,834277
21064207,Admiralty Centre,BUS,BUS,835064,815629
621145,YU CHUI COURT BUS TERMINUS,BUS,BUS,839188,826983
621179,Sai Wan Ho (Grand Promenade),BUS,BUS,841154,816213
626955,MEI TIN BUS TERMINUS,BUS,BUS,835638,826338
627723,Yiu Tung Estate,BUS,BUS,841020,815440
627743,TIN YIU BUS TERMINUS,BUS,BUS,818369,834574
627765,ROYAL ASCOT BUS TERMINUS,BUS,BUS,838773,829007
627942,KOM TSUN STREET BUS TERMINUS,BUS,BUS,832952,822089
621157,MONG KOK (PARK AVENUE) BUS TERMINUS,BUS,BUS,834854,819594
621092,Tai O,BUS,BUS,803868,812683
621086,KWUN TONG FERRY,BUS,BUS,840895,818760
621062,AIRPORT (GTC) BUS TERMINUS,BUS,BUS,811562,819426
621176,WONG NAI TAU BUS TERMINUS,BUS,BUS,840474,827019
620999,Tung Chung Station,BUS,BUS,811879,816765
620997,MEI LAM BUS TERMINUS,BUS,BUS,836063,826509
21145825,Tsing Yi Station (General Loading/Unloading Bay),BUS,BUS,829032,824308
21152428,CATHAY PACIFIC CITY,BUS,BUS,811128,817651
21145823,Ma Wan (Tung Wan Bus Terminus),BUS,BUS,824489,823803
21061073,RUMSEY STREET,BUS,BUS,833926,816392
21200840,Yu Nga Shopping Centre,BUS,BUS,812559,817408
628904,TUEN MUN STATION BUS TERMINUS,BUS,BUS,815367,828420
21145786,Tung Chung Station Bus Terminus,BUS,BUS,811820,816802
21145779,SHEK MUN ESTATE BUS TERMINUS,BUS,BUS,839529,827584
627793,Tseung Kwan O Station,BUS,BUS,844895,818852
628187,HUNG SHUI KIU (HUNG FUK ESTATE) BUS TERMINUS,BUS,BUS,817906,833031
628715,Tai Hong House,BUS,BUS,840890,816049
628432,Central (Star Ferry),BUS,BUS,834549,816423
628059,Hoi Lai Estate,BUS,BUS,833225,821461
