name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
Gram cafe & pancakes,彌敦道100號The ONE 4樓L408號舖,尖沙咀,日本菜,甜品,糖水,$101-200,1232,156
The Captain's House,厚福街8號H8 18樓,尖沙咀,西式,美國菜,,$201-400,1603,61
Boholic,福華街561號君凱豪庭地舖及1樓,長沙灣,多國菜,甜品,糖水,$201-400,1194,40
茶聊,砵蘭街189號1樓,旺角,多國菜,漢堡包,,$101-200,1284,50
Outdark (厚福街),厚福街8號H8 17樓,尖沙咀,韓國菜,韓式炸雞,,$101-200,1015,23
Lady Nara,廣東道3-27號海港城港威商場3樓3303號舖,尖沙咀,泰國菜,西式,,$101-200,826,21
蟲二,上海街618號頂樓,旺角,日本菜,西式,,$101-200,689,50
INN - I’m Not Nothing (裕民坊YM²),協和街33號裕民坊YM² 2樓205號舖,觀塘,多國菜,甜品,糖水,$101-200,765,17
Yadllie Plate 야들리애플래이트 (兆萬中心),西洋菜南街1N號兆萬中心11樓,旺角,韓國菜,韓式炸雞,,$201-400,1445,74
Mamaday,加連威老道29號信基商業中心2樓,尖沙咀,多國菜,薄餅,,$101-200,1165,22
Outdark (飛達商業中心),彌敦道613號飛達商業中心2樓,旺角,韓國菜,,,$201-400,1305,34
十和田總本店,金馬倫道42號華懋金馬倫中心地舖,尖沙咀,日本菜,壽司,刺身,$201-400,1341,45
哈豆,駿業里6號富利工業大廈3樓A室,觀塘,台灣菜,台式飲品,,$51-100,1125,28
日月堂,興業街14號永興工業大廈4樓C2室,觀塘,台灣菜,台式飲品,,$51-100,701,15
Cobber Coffee and Tonys Pastry,駿業里8號世貿大樓1樓,觀塘,西式,甜品,糖水,$101-200,611,10
Amitie Kitchen,厚福街8號H8 9樓,尖沙咀,意大利菜,法國菜,,$201-400,1146,22
JUST'er Bar & Restaurant,山林道13號地下A1-A2號舖,尖沙咀,西式,海鮮,,$101-200,1360,34
Milu Thai มิลู่ไทย (耀華街),耀華街3號百樂中心2樓,銅鑼灣,泰國菜,海鮮,,$101-200,1244,10
古今二 (觀塘工業中心),觀塘道436-446號觀塘工業中心4期1樓B室,觀塘,日本菜,壽司,刺身,$201-400,1019,18
Nara Thai Cuisine (港威商場),廣東道3-27號海港城港威商場3樓3303號舖,尖沙咀,泰國菜,,,$101-200,685,17
The Grill Room (The Humphreys),堪富利士道6-6A號爵寓2樓,尖沙咀,西式,扒房,,$201-400,1377,53
FAB Kitchen,長沙灣道883號億利工業中心7樓704號舖,荔枝角,西式,私房菜,,$101-200,732,20
L'AMOUR,大埔太和路15號太和中心地下38號舖,太和,多國菜,酒吧,,$201-400,973,24
幸屋,機利臣街5-9A號維昌大廈地舖,灣仔,日本菜,拉麵,,$51-100,812,24
二世祖,福全街18號地舖,大角咀,西式,All Day Breakfast,,$101-200,711,14
古今,軒尼詩道525號澳門逸園中心21樓,銅鑼灣,日本菜,拉麵,,$201-400,1118,13
申子居酒屋,黑布街74-76號藝興大廈地下1號舖,旺角,日本菜,酒,,$201-400,1007,29
Vision 8,兆和街34號永安樓地舖,荃灣,意大利菜,,,$201-400,1012,14
牛魔,棉登徑8號地下5-6號舖,尖沙咀,日本菜,燒烤,,$201-400,1112,27
Flames (海濱匯),海濱道77號海濱匯1樓2號舖,觀塘,多國菜,,,$101-200,753,22
MOO MOO,巧明街94-96號鴻圖中心地下1A號舖,觀塘,西式,美國菜,,$51-100,966,4
安平燒肉,彌敦道601號創興廣場9樓,旺角,台灣菜,烤肉,,$201-400,735,30
OPPA Coffee Bar Restaurant,金巴利街1F號地舖,尖沙咀,韓國菜,,,$101-200,1514,138
