name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
Non Kitchen,鴻圖道12精棉工業大廈1樓,觀塘,意大利菜,西式,,$101-200,1096,8
Plato Cafe & Bistro (吳松街),吳松街186-188號地舖,佐敦,意大利菜,西式,,$101-200,1169,32
Lucky Ristorante,上海街618號3樓301B號舖,旺角,意大利菜,西式,,$101-200,649,7
Mano (海濱匯),海濱道77號海濱匯1樓4號舖,觀塘,意大利菜,西式,,$101-200,545,7
Deer Kitchen (荃新天地),楊屋道1號荃新天地地下G06-07號舖,荃灣,意大利菜,西式,,$101-200,625,31
Mother of Pizzas,禮頓道13-19號地舖,銅鑼灣,意大利菜,薄餅,,$101-200,360,18
The Pizza Pig,澳南海岸唐俊街23號MONTEREY Place 地下G10-11號舖,將軍澳,意大利菜,西式,,$101-200,339,15
Pentola (大埔藝術中心),安邦路12號大埔藝術中心地下G01-02號舖,大埔,意大利菜,西式,,$101-200,261,8
Pizza Maru (荃新天地),楊屋道1號荃新天地UG樓UG28&30號舖,荃灣,韓國菜,意大利菜,,$101-200,362,9
The Point - Pizza & Pasta (The ONE),彌敦道100號The ONE 4樓L409號舖,尖沙咀,意大利菜,薄餅,,$101-200,622,27
Pizza Maru (希慎廣場),軒尼詩道500號希慎廣場13樓1302號舖,銅鑼灣,韓國菜,意大利菜,,$101-200,412,12
Pane e Latte,赤柱市場道25號啟厚閣地舖,赤柱,意大利菜,麵包店,,$101-200,190,13
"Uncle Pizza, Pasta & Grill",蘇豪伊利近街25號地舖,中環,意大利菜,西式,,$101-200,463,19
Pizza Piazza,長沙灣道883號億利工業中心地下1A號舖,荔枝角,意大利菜,薄餅,,$101-200,582,18
Fiata Pizza,蘇豪士丹頓街2號地舖,中環,意大利菜,西式,,$101-200,95,5
意粉狂熱 (雅蘭中心),彌敦道625 & 639號雅蘭中心2樓208號舖,旺角,意大利菜,薄餅,,$101-200,424,20
The Francesco,大全街47-49號大同新邨大滿樓地舖,大角咀,意大利菜,,,$101-200,202,6
Gochi,"聯合道198號樂富廣場A區UG&1樓L104A&B, L211-214號舖",樂富,日本菜,意大利菜,,$101-200,194,9
Pizza Maru (朗豪坊),亞皆老街8號朗豪坊4樓3號舖,旺角,韓國菜,意大利菜,,$101-200,168,5
ROSIE,興芳路177號葵芳廣場地下18號舖,葵芳,意大利菜,西式,,$101-200,346,17
Fika,坑口坑口村24號地舖,將軍澳,意大利菜,西式,,$101-200,200,1
Dineland,良德街3號豐連地下1號舖,屯門,意大利菜,西式,,$101-200,181,6
Hygge,唐俊街28號海天晉滙地下G33號舖,將軍澳,意大利菜,西式,,$101-200,106,2
The Point Kitchen (奧海城2期),海庭道18號奧海城2期1樓105A號舖,大角咀,意大利菜,,,$101-200,171,6
意粉狂熱 (屯門時代廣場北翼),屯隆街2號屯門時代廣場北翼L2樓46號舖,屯門,意大利菜,薄餅,,$101-200,181,2
Pasticceria Giovanni Pina 1920 (K11 Musea),梳士巴利道18號維港文化匯K11 Musea 2樓217號舖,尖沙咀,意大利菜,,,$101-200,184,8
Jacomax,永樂街38-42號東成商業大廈地下C號舖,上環,意大利菜,薄餅,,$101-200,344,7
The Point - Pizza & Pasta (MegaBox),宏照道38號企業廣場5期MegaBox 11樓10號舖,九龍灣,意大利菜,薄餅,,$101-200,156,4
The Pizza Pig,長順街15號D2 Place TWO地下G02號舖,荔枝角,意大利菜,西式,,$101-200,111,5
Pizza Maru (屯門市廣場1期),屯順街1號屯門市廣場1期2樓2030-2033號舖,屯門,韓國菜,意大利菜,,$101-200,163,1
Dough Bros Pizza & Doughnuts (皇后大道東),皇后大道東25號地舖,灣仔,意大利菜,薄餅,,$101-200,115,1
Jacomax,渣甸街50號渣甸中心地舖,銅鑼灣,意大利菜,薄餅,,$101-200,104,1
Pizza Maru (形點 I),元龍街9號形點 I L1樓1076號舖,元朗,韓國菜,意大利菜,,$101-200,126,4
Little Napoli,景光街8號景光樓地舖,跑馬地,意大利菜,薄餅,,$101-200,61,4
PizzaExpress (MOKO新世紀廣場),太子道西193號MOKO新世紀廣場1樓182號舖,旺角,意大利菜,薄餅,,$101-200,116,5
Little Mario's Pizzeria (Life@KCC ),葵昌路72-76號Life@KCC地下G02號舖,葵涌,意大利菜,薄餅,,$101-200,205,12
Pentola (裕民坊YM²),協和街33號裕民坊YM² 3樓305號舖,觀塘,意大利菜,西式,,$101-200,188,2
Sfizio Italian Restaurant,德成街4-16號富裕臺A座地下3B號舖,佐敦,意大利菜,西式,,$101-200,77,6
Brewed,禧利街27號富輝商業中心地下E號舖,上環,意大利菜,西式,,$101-200,79,1
Ehonia,軒尼詩道500號希慎廣場9樓1號舖,銅鑼灣,意大利菜,,,$101-200,89,2
