TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
MR,15,3715038328,太白海鮮舫,香港香港仔黃竹坑 深灣道太白海鮮舫,#F#G#H,2024-06-30
MR,11,3711800024,民樂,民樂(船號 A5583)(船之上層甲板部份和主甲板部份)停泊 於香港北角北角東渡輪碼頭,#H,2024-04-22
MR,11,3711800033,民安,民安(船號A10363)(船之上層甲板部份和主要甲板部份) 停泊於香港北角北角東渡輪碼頭,#H,2024-06-24
MR,11,3711800042,Man Kim,民儉(船號A2463)(船之上層甲板部份和主要甲板部份) 停泊於香港北角北角東渡輪碼頭,#H,2024-09-19
MR,11,3711800051,東方之珠,"東方之珠(船號：A144155) (船泊1號甲板A部份,2號甲板A部份及3號甲板A部份) 停泊於香港北角北角(東)客運碼頭",#G#H,2024-03-16
RL,18,2213018221,明愛餐廳,香港堅道2號 明愛大廈3樓A座301室,,2024-06-30
RL,18,2213018504,永樂園餐廳,香港中環 昭隆街19號地下及15-23號地庫,,2024-06-30
RL,18,2213030229,金華,香港中環 租庇利街9號地下,,2024-06-30
RL,18,2213034780,Healthy Chicken,香港中環 士丹利街82號地下,,2024-06-30
RL,18,2213035783,鏞記,香港中環 威靈頓街32-40號地下至4樓,,2024-06-30
RL,18,2213035792,麥奀雲吞麵世家,香港中環 威靈頓街77號地下,,2024-06-30
RL,18,2213037071,CAN.TEEN,香港夏慤道18號 海富中心1期1樓 中庭及44號舖,#G#H,2024-06-30
RL,18,2213037309,McDonald's,香港中環 皇后大道中37號 余道生行地庫,,2024-06-30
RL,18,2213039420,翠亨邨,香港 皇后大道中16-18號2樓,,2024-06-30
RL,18,2213039518,BAAN THAI,香港中環 雲咸街57號地下及閣樓,,2024-06-30
RL,18,2213039536,Café Landmark,香港皇后大道中15號 置地廣場1樓107-108號舖,,2024-06-30
RL,18,2213044772,梨花苑韓國料理,香港德輔道中243-247號1樓,,2024-06-30
RL,18,2213045562,四季悅日本料理,香港中環 夏慤道16號遠東金融中心 地下上層A1室,#G#H,2024-06-30
RL,18,2213045881,CARAT,香港中環 德己立街29號地下及閣樓,,2024-06-30
RL,18,2213045960,McDonald's,香港干諾道中30-32號 莊士大廈地下高層及地下低層,,2024-06-30
RL,18,2213062574,海南餐廳,香港中環 干諾道中130-131號地下,,2024-06-30
