TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio
RL,東江,"290, G/F., 290-292, M/F, SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.117078387233,22.36932735534819,1006,8,2,0,1,3,2,0,0,5,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,海蓮,"15-16, WING KA HOUSE, FUK LOI ESTATE, G/F., TSUEN WAN, NEW TERRITORIES",[],114.1124345614167,22.373866994108013,989,4,1,0,5,9,2,0,0,0,52.33464265850945,15570,2.268054241564175,0.4140711902113459,0.9760845383759733,0.457174638487208,0.013875748975086723,0.114
RL,裕記,"NO. 9 SAN TSUEN MAIN STREET, G/F & 1/F, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",[],114.10051331580638,22.353245961644333,1072,0,0,0,0,4,0,0,0,0,36.03601866883117,28250,2.9298454221165278,0.4362824675324675,0.8989448051948052,0.43993506493506496,0.4661117717003567,0.39
RL,能記飯店,"13 MAIN STREET, SAN TSUEN, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",[],114.05948684100008,22.37008224800008,1061,0,0,0,0,3,0,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,圓玄學院,"YUEN YUEN INSTITUTE, LO WAI, TSUEN WAN, NEW TERRITORIES",[],114.12272000000009,22.383020000000045,973,0,1,0,0,5,0,0,1,0,51.92857142857143,40580,3.6088379705400984,0.4766439909297052,0.9886621315192744,0.4603174603174603,0.49918166939443537,0.178
RL,都好,"NO. 12-14 HOI PA STREET, G/F, TSUEN WAN, NEW TERRITORIES",[],114.11179569275669,22.3738310357434,991,7,1,0,0,7,0,0,0,0,36.88699165797706,17500,2.705218617771509,0.4692387904066736,0.8852971845672576,0.49061522419186654,0.3300423131170663,0.308
RL,新記粥粉麵,"16 HOI PA STREET, G/F & C/L, TSUEN WAN, NEW TERRITORIES",[],114.11188973771031,22.37378950341315,991,9,1,0,0,9,0,0,0,0,36.88699165797706,17500,2.705218617771509,0.4692387904066736,0.8852971845672576,0.49061522419186654,0.3300423131170663,0.308
RL,莎樂美,"NO. 294 SHA TSUI ROAD, G/F & M/F, TSUEN WAN, NEW TERRITORIES",[],114.1171164410734,22.36930552049041,1006,7,2,0,1,3,2,0,0,5,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,Ho Choi Seafood Restaurant,"NO. 43-59, 1F AND NO. 59, G/F (PORTION), HEUNG WO STREET, TSUEN WAN, NEW TERRITORIES",['G'],114.11213800968238,22.37172110116656,997,12,0,0,0,4,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,寶星咖啡餐廳,"NO. 12, WING TAI HOUSE G/F., FUK LOI ESTATE, TSUEN WAN, NEW TERRITORIES",[],114.1138445651689,22.37310520483792,989,0,0,0,3,8,2,0,0,0,52.33464265850945,15570,2.268054241564175,0.4140711902113459,0.9760845383759733,0.457174638487208,0.013875748975086723,0.114
