TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,幸福餐飲,"SHOP S46, UG/F, TSUEN WAN CENTRE, 87-105 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.1072735721745,22.37821766286073,979.0,2,1,0,4,2,0,0,1,0,39.09313452483418,31900.0,2.66114254917812,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325,1
RR,zeppelin hot dog-mk,"SHOP 104, 1/F, THE HOUSEHOLD CENTRE, 8 KING LAI PATH, KWAI CHUNG, NEW TERRITORIES",[],114.1443716464368,22.343671709816807,1043.0,0,0,0,0,0,0,0,0,0,50.72647456100856,44320.0,3.035535307517084,0.5060783430886988,0.8832357796788234,0.4274350892991145,0.7457858769931663,0.454,1
RR,一條米線燦記,"G/F, 9 MA WAN MAIN STREET VILLAGE EAST, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05932221285036,22.351618824690405,1742.0,3,1,0,1,6,0,0,0,0,37.75284512617516,40280.0,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339,0
RR,SWEET-O-LOGY,"SHOP 167, LEVEL 1, METROPLAZA, 223 HING FONG ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.12701010430555,22.35726034844167,1035.0,19,8,3,0,1,2,0,0,0,52.04620410703174,31870.0,2.634426229508197,0.5059116365899191,0.9464841319228376,0.4268823895457374,0.8639344262295082,1.0,1
RR,大眾食堂,"PORTION A OF SHOP J, G/F, KWAI FUNG HOUSE, 456-458 CASTLE PEAK ROAD KWAI CHUNG, 3, 7-9 AND 13-21 PING LAI PATH, KWAI CHUNG, NEW TERRITORIES",[],114.1353288079311,22.367541046052963,1046.0,10,0,0,0,1,0,0,1,0,38.88056665715101,20050.0,2.556934306569344,0.5047102483585498,0.952183842420782,0.478304310590922,0.5109489051094891,0.323,1
RR,泰味泰國餐廳,"SHOP S1C, UG/F, TSUEN WAN CENTRE, TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.1113827163872,22.37748013920033,979.0,1,1,0,0,8,0,0,0,0,39.09313452483418,31900.0,2.66114254917812,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325,1
RR,Mr. Tuu,"UNIT 52, 1/F, CHEONG NING BUILDING, 202-216 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12039000000004,22.37104000000005,1002.0,12,0,0,3,3,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,No Record,"G/F, 335 MA WAN MAIN STREET VILLAGE NORTH, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05940687007244,22.35328418312281,1742.0,0,1,0,0,2,0,0,0,0,37.75284512617516,40280.0,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339,1
RR,鵝王,"SHOP NO. 7, G/F, 4 FU WING STREET, FOO YU BUILDING, TSUEN WAN, NEW TERRITORIES",[],114.11579050781012,22.37249936087639,990.0,22,0,0,1,2,1,0,0,0,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,KoBaNe,"UNIT 103, 1/F, THE MILLS, NO. 45 PAK TIN PAR STREET, TSUEN WAN, NEW TERRITORIES",[],114.11017236956872,22.374950355093432,988.0,15,0,0,0,0,0,0,0,0,36.55153917910448,14630.0,2.977777777777778,0.4216417910447761,0.9169776119402984,0.5,0.1722222222222222,0.211,1
RR,三寶小食,"SHOP A13A, G/F, KWAI CHUNG PLAZA, 7-11 KWAI FOO ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.12717346759848,22.358296686950283,1035.0,14,0,0,0,1,2,0,2,0,52.04620410703174,31870.0,2.634426229508197,0.5059116365899191,0.9464841319228376,0.4268823895457374,0.8639344262295082,1.0,1
RR,宇鮨日料,"SHOP 24, G/F, WO YI PLAZA, 26-30 WO YI HOP ROAD, KWAI CHUNG, NEW TERRITORIES",[],114.13700000000006,22.36592000000008,1041.0,3,1,0,5,11,1,0,1,1,49.80904607278519,22430.0,2.959564823209429,0.4419188824898909,0.962014459012376,0.4818037005268962,0.5309156844968268,0.323,1
RR,CHILL GUY,"UNIT 52, 1/F, CHEONG NING BUILDING, 202-216 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12039000000004,22.37104000000005,1002.0,12,0,0,3,3,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,MAN KEE KITCHEN,"UNIT 52, 1/F, CHEONG NING BUILDING, 202-216 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12039000000004,22.37104000000005,1002.0,12,0,0,3,3,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,勇仔記車仔麵,"SHOP NO. 12, G/F, ON FU BUILDING, NO. 26 LO TAK COURT, TSUEN WAN, NEW TERRITORIES",[],114.11548431688708,22.372742897073152,990.0,26,0,0,2,0,1,0,0,0,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,No Record,"SHOP NO. 217, 2/F, NINA MALL 1, 8 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11295155720455,22.36877188662476,1014.0,7,2,0,0,2,0,0,0,2,37.40216787103947,60500.0,2.669139465875371,0.6281267370761534,0.896609227348527,0.4469149527515286,0.7752225519287834,0.32,1
RR,心怡記,"FRONT PORTION OF G/F NO.1, CHUNG KWAI CHUNG TSUEN, TSUEN WAN, NEW TERRITORIES",[],114.13132292876548,22.372962293388767,1020.0,1,0,0,0,4,0,0,0,0,38.22567396798652,46120.0,3.0319284802043422,0.649536647009267,0.8934288121314238,0.4949452401010952,0.4137931034482758,0.187,0
RR,No Record,"SHOP 1, G/F, NO. 18 TAI CHUNG ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11081199260002,22.374084420676382,988.0,1,0,0,0,2,0,0,0,0,36.55153917910448,14630.0,2.977777777777778,0.4216417910447761,0.9169776119402984,0.5,0.1722222222222222,0.211,1
RR,No Record,"G/F, NO. 243 MA WAN MAIN STREET VILLAGE CENTRAL, LOT NO. 485, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05828268921852,22.35251531114453,1742.0,1,0,0,0,3,0,0,0,0,37.75284512617516,40280.0,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339,1
RR,WHY SO,"SHOP 2, G/F, INTERNATIONAL ENTERPRISE CENTRE III, 18 TAI CHUNG ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11081199260002,22.374084420676382,988.0,1,0,0,0,2,0,0,0,0,36.55153917910448,14630.0,2.977777777777778,0.4216417910447761,0.9169776119402984,0.5,0.1722222222222222,0.211,1
RR,Second Impression,"SHOP NO. 14, G/F, FORTUNE MANSION, NOS. 105-129 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.111432253435,22.37277068308218,991.0,9,1,0,0,4,0,0,1,0,36.88699165797706,17500.0,2.705218617771509,0.4692387904066736,0.8852971845672576,0.4906152241918665,0.3300423131170663,0.308,1
RR,街粥,"SHOP NO. 4, G/F, KWAI DAO BUILDING, 129-137 & 141-151, TAI LOONG STREET, KWAI CHUNG, NEW TERRITORIES",[],114.13883303019162,22.366393395870176,1041.0,8,1,0,1,6,2,0,3,0,49.80904607278519,22430.0,2.959564823209429,0.4419188824898909,0.962014459012376,0.4818037005268962,0.5309156844968268,0.323,1
RR,No Record,"SHOP NO. 2, GROUND FLOOR, SUN KWAI HING PLAZA, KWAI CHUNG, NEW TERRITORIES",[],114.13182000000006,22.362990000000025,1029.0,6,3,6,3,3,6,0,0,0,49.30263783269962,40090.0,2.8128342245989306,0.5175855513307985,0.9591254752851712,0.4486692015209125,0.8516042780748663,0.4,1
RR,牛欄牛什粉麵,"132 SHA TSUI ROAD, G/F., TSUEN WAN, NEW TERRITORIES",[],114.11173173883545,22.372132233517306,997.0,4,1,0,0,1,0,0,1,0,36.811619718309856,21300.0,2.837162837162837,0.4524647887323944,0.9846830985915492,0.4774647887323943,0.4125874125874126,0.282,0
RR,木馬茶座,"G/F, NO. 28 KWOK SHUI ROAD, HAM TIN VILLAGE, TSUEN WAN, NEW TERRITORIES",[],114.12911519139315,22.37172679590846,1020.0,0,0,0,0,6,0,0,0,0,38.22567396798652,46120.0,3.0319284802043422,0.649536647009267,0.8934288121314238,0.4949452401010952,0.4137931034482758,0.187,1
RR,榮記茶餐廳,"SHOP NO. 60、63 & 63A, G/F, PODIUM B, WEALTHY GARDEN, TSUEN WAN, NEW TERRITORIES",[],114.12172488600004,22.36921235200004,996.0,10,0,0,0,3,1,0,2,0,50.25028304557034,28140.0,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444,1
RR,GOD OF COOKERY,"SHOP B86-B87, 1/F, TSUEN FUNG CENTRE, 144-172 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11858235211974,22.371670432561857,994.0,15,3,0,0,2,5,0,0,1,52.57441956882255,32330.0,2.817757009345794,0.5306799336650083,0.961028192371476,0.451077943615257,0.780373831775701,0.446,1
RR,THAI TASTY THAI RESTAURANT,"SHOP S1C, UG/F, TSUEN WAN CENTRE, TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.1113827163872,22.37748013920033,979.0,1,1,0,0,8,0,0,0,0,39.09313452483418,31900.0,2.66114254917812,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325,1
RR,三姨車仔麵,"SHOP F2, G/F, FULLYTECH CENTRE, 18 TAK HOI STREET, TSUEN WAN, NEW TERRITORIES",[],114.11739949794368,22.369987807408904,1005.0,16,1,0,0,3,2,0,0,3,53.18856655290102,19040.0,3.768488745980708,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3,1
RR,SPACE,"SHOP NO. 10-11, G/F, FORTUNE MANSION, 105-129 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.111432253435,22.37277068308218,991.0,9,1,0,0,4,0,0,1,0,36.88699165797706,17500.0,2.705218617771509,0.4692387904066736,0.8852971845672576,0.4906152241918665,0.3300423131170663,0.308,1
RR,養心亭,"SHOP 49 & 58, 1/F, CHEONG NING BUILDING, 202-216 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12039000000004,22.37104000000005,1002.0,12,0,0,3,3,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,SIMPLE TASTE SOUP AND NOODLE,"UNIT 52, 1/F, CHEONG NING BUILDING, 202-216 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12039000000004,22.37104000000005,1002.0,12,0,0,3,3,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,Coffee Slave,"SHOP 1B, G/F, CHEONG TAI BUILDING, 97-101 HOI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11560560302604,22.372189984830182,990.0,21,0,0,1,3,1,0,0,6,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,Dou Zo,"SHOP NO. F5, G/F, BLOCK F, SHEK PIK RESETTLEMENT, 12-26 LUEN YAN STREET, TSUEN WAN, NEW TERRITORIES",[],114.11747803637638,22.36780553700765,1007.0,3,3,0,2,3,0,0,0,0,50.48813056379822,28640.0,2.858960763520679,0.5133531157270029,0.948813056379822,0.435459940652819,0.5726405090137858,0.18,1
RR,餃子坊,"G/F, 42 LO TAK COURT, TSUEN WAN, NEW TERRITORIES",[],114.11548431688708,22.372742897073152,990.0,25,0,0,2,0,1,0,0,0,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,梅姐水餃麵,"G/F , NO. 34 LO TAK COURT, TSUEN WAN, NEW TERRITORIES",[],114.11548431688708,22.372742897073152,990.0,25,0,0,2,0,1,0,0,0,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,大鼻滷,"G/F, KWONG FAT BUILDING, 347-355 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11906598793296,22.368660155855423,1013.0,4,0,0,4,0,0,0,1,0,35.807063851181496,17250.0,2.4616336633663365,0.4072398190045249,0.918552036199095,0.4836601307189542,0.2264851485148515,0.365,1
RR,Boaz House,"SEATING AREA OUTSIDE SHOP B122B AND SHOP B122B, B1, PANDA PLACE OF PANDA HOTEL, 3 TSUEN WAH STREET, TSUEN WAN, NEW TERRITORIES",[],114.1206700327437,22.36910355853341,996.0,20,0,0,0,6,0,0,0,1,50.25028304557034,28140.0,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444,1
RR,Together Tomato,"SHOP NO. 12, G/F, ON FU BUILDING, NO. 26 LO TAK COURT, TSUEN WAN, NEW TERRITORIES",[],114.11548431688708,22.372742897073152,990.0,25,0,0,2,0,1,0,0,0,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,SIANG NAN,"SHOP NOS. G38 & GR38, UPPER GROUND FLOOR, PHASE 1, TSUEN WAN CENTRE SHOPPING ARCADE, 86 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10884375409636,22.378634411086622,979.0,4,0,0,0,2,1,0,3,0,39.09313452483418,31900.0,2.66114254917812,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325,1
RR,THE BEST HOUSE,"SHOP S46, UG/F, TSUEN WAN CENTRE, 87-105 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.1072735721745,22.37821766286073,979.0,3,1,0,4,2,0,0,1,0,39.09313452483418,31900.0,2.66114254917812,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325,1
RR,小方糖,"SHOP A, G/F, TSUEN KING BUILDING, NOS. 83-89 HOI PA STREET, NOS. 3-5 TSUEN HING PATH, TSUEN WAN, NEW TERRITORIES",[],114.11527870880218,22.372288136916367,990.0,27,0,0,3,5,1,0,0,6,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,Hoi Hoi Pancake House,"SHOP 117, 1/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11340761655634,22.369975905106383,999.0,25,0,0,0,1,0,0,0,0,37.50052410901468,23520.0,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.4153983885407341,0.312,1
RR,SAMMI #000000,"SHOP C, E, G/F, WANSON HOUSE, 117-121 CASTLE PEAK ROAD TSUEN WAN, TSUEN WAN, NEW TERRITORIES",[],114.11957334453224,22.370649642483627,1004.0,3,0,0,5,4,0,0,0,1,37.75467914438502,20900.0,2.5660377358490565,0.4866310160427807,0.911096256684492,0.517379679144385,0.5128644939965694,0.357,1
RR,銘陽車仔麵,"G/F, NO. 17 TSUEN HING PATH, TSUEN WAN, NEW TERRITORIES",[],114.11579050781012,22.37249936087639,990.0,22,0,0,1,2,1,0,0,0,49.59867629362214,21140.0,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316,1
RR,Saryo Kyoto Niomon (OP Mall),"SHOP NOS. G22 & G23, G/F, OP MALL, 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11016490967484,22.367655375212266,1012.0,26,4,10,0,0,1,0,0,0,35.66749758764876,70000.0,2.9722753346080304,0.5918301704728208,0.864425860405275,0.4630106143454487,0.6376673040152964,0.347,1
RR,MAN HUNG KEE,"G/F, 32 SHIU WO STREET, TSUEN WAN, NEW TERRITORIES",[],114.11760393256208,22.371861539954253,993.0,12,7,0,0,2,2,0,0,3,39.74262339055794,18530.0,2.341708542713568,0.4350858369098712,0.9721030042918456,0.4758583690987124,0.4912060301507537,0.324,1
RR,SOMM WINE CELLAR,"SHOP NO. 217, 2/F, NINA MALL 1, 8 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11295155720455,22.36877188662476,1014.0,7,2,0,0,2,0,0,0,2,37.40216787103947,60500.0,2.669139465875371,0.6281267370761534,0.896609227348527,0.4469149527515286,0.7752225519287834,0.32,1
RR,NEIGHBOR,"SHOP NO. G030, G/F, KOLOUR．TSUEN WAN I, 68 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11759387427828,22.37057868967325,1005.0,21,2,0,0,5,0,0,0,3,53.18856655290102,19040.0,3.768488745980708,0.3250853242320819,0.9223549488054608,0.4641638225255973,0.3247588424437299,0.3,1
RR,COMO,"SHOP 1, G/F, NO. 18 TAI CHUNG ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11081199260002,22.374084420676382,988.0,0,0,0,0,2,0,0,0,0,36.55153917910448,14630.0,2.977777777777778,0.4216417910447761,0.9169776119402984,0.5,0.1722222222222222,0.211,1
RR,SANG KEE NOODLE,"SHOP B, G/F, 53 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11619979614215,22.37182105536192,995.0,5,2,0,0,4,1,0,0,5,37.48310741425344,18110.0,2.7292600896860986,0.4241117272540562,0.911275415896488,0.4719654959950708,0.3811659192825112,0.335,0
RR,CAFE IKI,"G/F, NO. 243 MA WAN MAIN STREET VILLAGE CENTRAL, LOT NO. 485, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05828268921852,22.35251531114453,1742.0,1,0,0,0,3,0,0,0,0,37.75284512617516,40280.0,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339,1
RR,No Record,"SHOP NOS. 128-130, LEVEL 1, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11080629290586,22.37086882925168,998.0,32,1,0,3,4,1,0,0,0,49.816964285714285,39130.0,2.966887417218543,0.5416666666666666,0.9553571428571428,0.5379464285714286,0.8013245033112583,0.214,1
RR,SUBWAY,"SHOP 17C, 1/F, PLAZA 88, NO. 88 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11577357636564,22.36730995698241,1014.0,8,0,0,1,0,0,0,0,0,37.40216787103947,60500.0,2.669139465875371,0.6281267370761534,0.896609227348527,0.4469149527515286,0.7752225519287834,0.32,1
